#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
72,KAMAR BALDWIN,BASK,19,22.3,9.3,3.8,8.6,0.442,1.0,3.0,0.333,0.7,1.1,0.667,0.4,2.1,2.5,3.1,0.7,0.3,1.8,2.4,171,0.514,0.5,144.2,2.0,11.7,6.9,23.0,16.5,1.8,1.5,22.6,1.3,1.1,103.0,117.8,-14.8,105.9,12.0,423.2,SG,128,0,0,0,0,0,0,0,21,0,0.221,1.7,0.4,0.1,11,8,0.579,-0.2,0.3,0.2,BASKONIA
73,MARCO SPISSU,ZAR,34,22.6,9.3,3.1,6.9,0.446,1.6,4.2,0.387,1.5,1.7,0.881,0.4,1.3,1.7,4.4,1.1,0.0,2.3,2.4,123,0.608,0.564,171.5,2.1,7.6,4.8,29.9,23.4,2.5,0.2,19.6,2.8,1.4,115.3,119.5,-4.3,232.4,13.9,767.9,PG,171,0,0,0,0,0,0,0,21,0,0.233,1.9,0.5,0.3,13,21,0.382,1.1,0.4,1.5,CASADEMONT ZARAGOZA
74,KEYE VAN DER VUURST DE VRIES,FOR,11,18.6,9.2,2.9,6.6,0.438,1.3,3.5,0.359,2.1,2.4,0.885,0.3,1.4,1.6,4.3,0.6,0.0,2.2,2.3,88,0.598,0.534,168.2,1.8,9.1,5.5,43.2,22.1,1.8,0.0,24.6,3.6,1.4,111.3,119.1,-7.8,68.3,15.5,205.1,PG,33,1,0,0,0,0,0,0,17,0,0.262,2.0,0.3,0.4,3,8,0.273,0.3,0.1,0.4,RIO BREOGAN
75,ARTURS KURUCS,BRE,18,24.0,9.1,3.0,6.8,0.443,2.5,5.3,0.469,0.6,0.6,1.0,0.5,1.2,1.7,1.4,1.0,0.1,0.8,2.7,157,0.646,0.627,191.1,2.6,6.1,4.4,9.8,9.9,2.2,0.3,15.3,0.6,1.3,125.7,120.0,5.6,99.9,12.6,432.8,SG,223,0,0,0,0,0,0,0,20,0,0.154,1.8,1.3,0.1,7,11,0.389,0.9,0.2,1.1,DREAMLAND GRAN CANARIA
76,JONATHAN ROUSSELLE,GRA,34,22.7,9.1,2.9,7.3,0.398,1.4,4.0,0.338,1.9,2.4,0.783,0.3,1.6,1.9,3.9,0.6,0.1,1.3,3.1,150,0.541,0.49,151.9,1.6,9.3,5.3,30.2,13.6,1.4,0.4,19.7,5.6,1.2,115.7,118.6,-3.0,199.6,12.8,771.9,PG,47,0,0,0,0,0,0,0,21,0,0.244,2.9,0.5,0.3,9,25,0.265,1.1,0.5,1.6,FORCA LLEIDA CE
77,MIKE TOBEY,GCN,36,20.5,9.1,3.9,6.8,0.574,0.4,1.6,0.259,0.9,1.3,0.689,1.9,3.0,4.9,1.2,0.4,0.7,0.9,2.3,29,0.618,0.605,152.1,12.1,19.4,15.8,10.5,10.5,1.0,4.0,19.4,-0.3,1.3,125.2,115.4,9.9,285.4,19.1,738.3,C,141,0,0,0,0,0,0,0,21,0,0.17,1.4,0.5,0.2,19,17,0.528,1.9,0.8,2.8,DREAMLAND GRAN CANARIA
78,MARTIN GEBEN,SJG,21,16.7,9.0,3.5,5.5,0.643,0.7,1.6,0.424,1.3,1.9,0.7,2.0,3.1,5.1,0.9,0.5,0.1,0.6,2.2,5,0.716,0.704,176.8,14.0,23.2,18.5,9.5,8.3,1.5,0.7,18.4,0.0,1.7,144.0,114.2,29.7,174.8,23.9,351.6,C,164,0,0,0,0,0,0,0,16,0,0.146,1.5,0.8,0.3,10,11,0.476,1.7,0.4,2.1,CB GRANADA
79,RICCARDO VISCONTI,GRA,10,18.4,9.0,2.5,6.6,0.379,1.5,4.9,0.306,2.5,3.0,0.833,1.0,1.7,2.7,0.9,0.9,0.2,1.3,2.2,104,0.568,0.492,151.8,6.6,12.5,9.4,8.6,14.1,2.6,1.2,22.6,-3.8,1.4,114.0,118.6,-4.7,48.0,14.8,183.6,SG,110,0,0,0,0,0,0,0,22,0,0.12,0.7,0.7,0.5,3,7,0.3,0.2,0.1,0.4,FORCA LLEIDA CE
80,TONI NAKIC,BRE,30,24.8,8.9,2.9,6.3,0.466,1.7,3.6,0.463,1.4,1.7,0.82,0.9,2.6,3.5,1.0,0.8,0.1,0.7,2.0,141,0.633,0.598,174.9,4.4,12.8,8.6,6.7,9.1,1.7,0.3,14.6,-0.2,1.4,125.3,118.3,7.0,195.3,13.1,744.2,SG,227,0,0,0,0,0,0,0,20,0,0.14,1.4,1.1,0.3,11,19,0.367,1.4,0.5,1.9,DREAMLAND GRAN CANARIA
81,NIKOS ROGKAVOPOULOS,BASK,32,19.4,8.9,3.1,7.2,0.433,1.5,4.4,0.345,1.1,1.5,0.745,0.8,2.5,3.3,1.1,0.6,0.1,0.7,1.3,94,0.564,0.539,152.3,5.3,16.1,10.8,9.4,7.7,1.6,0.5,20.4,0.4,1.2,118.7,118.7,0.0,194.9,15.3,619.6,SF,160,0,0,0,0,0,0,0,20,0,0.137,1.7,0.9,0.2,17,15,0.531,1.1,0.4,1.5,BASKONIA
82,JOHN SHURNA,GCN,32,22.4,8.8,3.2,6.7,0.477,1.6,3.6,0.431,0.8,1.4,0.614,1.1,1.6,2.6,0.8,0.4,0.3,0.5,1.8,132,0.602,0.593,152.1,6.2,9.2,7.7,5.7,6.4,0.9,1.3,16.9,0.0,1.3,124.1,119.7,4.4,174.0,13.5,717.7,F,74,0,0,0,0,0,0,0,24,0,0.134,1.5,0.8,0.2,16,16,0.5,1.5,0.4,1.8,DREAMLAND GRAN CANARIA
83,JOE THOMASSON,GCN,35,21.3,8.7,3.1,6.4,0.484,0.8,2.3,0.342,1.7,1.9,0.853,0.3,2.1,2.4,1.9,0.7,0.1,1.5,2.2,147,0.594,0.544,167.9,1.6,13.1,7.4,15.1,17.5,1.9,0.8,20.2,-1.3,1.3,109.8,117.0,-7.2,179.3,12.9,744.2,G,229,0,0,0,0,0,1,0,19,0,0.169,1.2,0.5,0.3,18,17,0.514,0.5,0.7,1.1,DREAMLAND GRAN CANARIA
84,JOEL PARRA,FCB,33,21.5,8.5,3.1,5.9,0.52,0.8,2.2,0.366,1.6,1.8,0.897,0.8,3.5,4.2,1.1,1.0,0.2,0.6,1.2,53,0.637,0.587,178.3,4.6,19.9,12.5,8.0,8.7,2.5,0.9,15.9,0.5,1.4,130.5,109.7,20.8,261.5,17.4,707.9,F,154,0,0,0,0,0,0,0,18,0,0.13,1.8,1.6,0.3,20,13,0.606,1.8,1.3,3.2,BARCA
85,SERGIO LLULL,RMB,33,16.8,8.5,2.6,6.5,0.394,1.5,4.5,0.347,1.8,2.2,0.833,0.2,1.4,1.6,2.5,0.4,0.1,1.0,1.1,79,0.567,0.512,157.4,1.6,8.9,5.6,24.9,11.4,1.3,0.4,23.4,4.2,1.3,120.7,111.0,9.7,181.3,16.1,556.0,PG,172,0,0,0,0,0,0,0,19,0,0.169,2.6,0.4,0.3,30,3,0.909,1.3,1.0,2.3,REAL MADRID
86,HARALD FREY,BBB,34,19.6,8.5,2.5,6.0,0.422,1.4,4.0,0.338,2.1,2.3,0.899,0.4,1.5,1.9,3.3,0.7,0.0,1.1,2.4,75,0.605,0.534,165.9,2.4,9.7,6.0,29.9,14.0,2.1,0.2,20.0,5.5,1.4,123.3,115.5,7.8,214.9,16.4,666.4,PG,131,0,0,0,0,0,0,0,19,0,0.207,2.9,0.6,0.4,11,23,0.324,1.7,0.7,2.4,BILBAO BASKET
87,SIMON BIRGANDER,MUR,28,22.0,8.4,3.8,5.8,0.65,0.0,0.0,0.0,0.9,1.2,0.727,1.8,3.6,5.4,1.3,0.4,0.9,1.1,2.2,47,0.665,0.65,137.8,9.3,20.6,14.8,10.6,14.5,1.0,4.1,15.7,-1.0,1.4,125.3,106.0,19.3,237.9,17.7,617.3,FC,11,3,0,0,0,0,0,0,25,0,0.172,1.2,0.4,0.2,16,12,0.571,1.3,1.5,2.8,CB GIRONA
88,EDY TAVARES,RMB,34,21.3,8.4,3.2,4.9,0.663,0.0,0.0,0.0,1.9,2.9,0.66,2.3,4.6,6.9,1.0,0.5,1.4,1.4,2.2,18,0.681,0.663,132.3,13.7,23.6,19.0,8.0,18.6,1.3,7.0,16.5,-3.4,1.7,125.5,101.1,24.4,334.0,20.3,725.0,C,2,5,0,0,0,0,0,0,16,0,0.142,0.7,0.4,0.6,30,4,0.882,1.7,2.2,3.9,REAL MADRID
89,DOMINIK MAVRA,BRE,25,19.9,8.4,2.8,6.3,0.449,0.8,2.8,0.304,1.9,2.7,0.691,0.6,2.0,2.6,3.7,0.7,0.1,1.3,1.5,74,0.559,0.516,144.5,4.0,12.0,8.1,32.5,14.9,2.0,0.5,21.0,5.7,1.3,117.9,118.8,-1.0,179.3,16.4,496.5,SF,45,0,0,0,0,0,0,0,16,0,0.229,2.8,0.5,0.4,11,14,0.44,0.9,0.3,1.3,DREAMLAND GRAN CANARIA
90,KILLIAN TILLIE,UNI,29,12.9,8.4,3.0,5.3,0.565,1.5,2.8,0.537,0.9,1.3,0.676,0.8,1.7,2.4,0.9,0.5,0.2,0.6,1.8,8,0.714,0.708,177.7,7.3,16.3,11.8,11.4,9.6,2.0,2.2,22.8,-0.3,1.6,133.3,107.3,26.0,174.1,23.2,374.6,C,39,1,0,0,0,0,0,0,23,0,0.117,1.4,0.8,0.2,21,8,0.724,1.5,0.8,2.3,UCAM MURCIA CB
91,MARVIN JONES,BBB,32,19.3,8.4,3.1,6.3,0.5,0.3,0.5,0.471,1.9,2.7,0.706,1.1,2.4,3.5,0.5,0.4,0.5,0.9,1.7,111,0.564,0.52,167.6,7.2,15.7,11.4,5.2,11.2,1.1,2.9,20.8,-3.1,1.3,110.2,114.3,-4.1,167.6,14.5,617.5,FC,32,1,0,0,0,0,0,0,22,0,0.13,0.6,0.4,0.4,10,22,0.313,0.4,0.8,1.2,BILBAO BASKET
92,MARIO SAINT-SUPERY,MAN,33,14.7,8.3,2.6,5.5,0.467,0.8,2.2,0.365,2.4,2.7,0.867,0.8,1.4,2.1,2.1,0.8,0.1,1.7,2.2,46,0.62,0.541,169.9,6.0,12.0,8.9,25.3,19.9,2.7,0.7,24.8,-1.8,1.5,116.2,108.0,8.2,169.5,17.8,484.9,G,90,0,0,0,0,0,0,0,20,0,0.158,1.3,0.5,0.5,16,17,0.485,0.9,1.0,1.9,BAXI MANRESA
93,JAKE WILEY,GRA,19,19.0,8.3,3.7,6.3,0.588,0.0,0.2,0.0,0.9,1.4,0.667,1.6,2.1,3.7,1.1,0.9,0.6,1.3,2.6,60,0.604,0.588,125.5,10.3,15.0,12.5,11.2,16.0,2.5,3.2,20.3,-3.2,1.3,111.7,110.1,1.6,117.1,17.2,360.9,F,50,0,0,0,0,0,0,0,17,0,0.172,0.8,0.7,0.2,6,13,0.316,0.4,0.6,1.0,FORCA LLEIDA CE
94,JUSTIN ANDERSON,FCB,33,19.4,8.3,2.8,5.8,0.489,1.1,2.4,0.474,1.5,1.8,0.879,0.7,1.9,2.6,0.7,0.3,0.3,0.7,1.7,116,0.636,0.587,184.3,4.8,12.2,8.6,5.5,9.3,0.7,1.6,17.4,-1.0,1.4,126.5,116.4,10.1,172.5,14.2,639.3,F,149,0,0,0,0,0,0,0,25,0,0.109,1.0,0.4,0.3,19,14,0.576,1.5,0.6,2.1,BARCA
95,ZORAN DRAGIC,BBB,34,21.6,8.3,2.7,7.3,0.368,0.9,4.0,0.215,2.1,2.8,0.745,0.5,2.0,2.5,1.9,0.5,0.0,1.8,1.3,220,0.487,0.427,132.8,2.8,11.7,7.2,15.8,17.2,1.3,0.0,22.7,-2.2,1.1,94.4,116.9,-22.5,128.3,8.7,735.6,SG,230,0,0,0,0,0,0,0,24,0,0.164,1.1,0.3,0.4,11,23,0.324,-1.2,0.7,-0.6,BILBAO BASKET
96,JUANI MARCOS,SJG,28,21.0,8.3,2.8,7.0,0.4,1.4,4.0,0.351,1.3,1.5,0.837,0.6,1.3,1.9,4.3,0.9,0.1,1.8,2.3,131,0.54,0.5,158.9,3.2,7.6,5.3,34.1,18.9,2.2,0.8,20.2,5.0,1.2,111.6,117.7,-6.2,178.1,13.5,588.6,PG,102,0,0,0,0,0,0,0,15,0,0.242,2.4,0.5,0.2,11,17,0.393,0.5,0.5,1.0,CB GRANADA
97,PEP BUSQUETS,SJG,21,16.7,8.2,2.9,6.6,0.442,1.2,4.0,0.301,1.2,1.7,0.743,0.9,2.1,3.0,1.1,0.7,0.0,1.0,2.3,99,0.564,0.533,148.6,6.4,15.5,10.8,11.4,11.5,2.1,0.3,22.2,-1.3,1.3,114.0,115.4,-1.4,102.4,15.0,350.4,F,158,0,0,0,0,0,0,0,21,0,0.133,1.2,0.7,0.3,10,11,0.476,0.4,0.4,0.8,CB GRANADA
98,NATE SESTINA,VAL,35,17.3,8.2,2.8,6.3,0.441,2.1,5.0,0.425,0.5,0.6,0.864,0.6,2.1,2.7,0.5,0.5,0.1,0.6,1.9,117,0.625,0.609,173.0,4.3,14.0,9.3,4.5,8.7,1.5,0.3,18.2,-1.5,1.3,127.5,113.5,14.0,174.3,14.2,605.6,PF,53,0,0,0,0,0,0,0,27,0,0.096,0.9,0.8,0.1,26,9,0.743,1.5,0.8,2.3,VALENCIA BASKET
99,TOMAS SATORANSKY,FCB,36,22.7,8.1,2.8,6.0,0.465,0.8,2.2,0.342,1.8,2.4,0.756,0.6,2.7,3.2,4.4,0.8,0.1,1.8,1.9,110,0.577,0.528,156.3,3.3,14.5,9.1,28.4,20.2,1.7,0.4,18.1,5.0,1.4,117.4,113.6,3.9,280.5,14.5,816.6,PG,56,0,0,0,0,0,0,0,20,0,0.22,2.5,0.4,0.4,22,14,0.611,1.3,1.1,2.5,BARCA
