#_prom,Player,Team_prom,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,Team,#,Team_misc,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
87,PAMOR DIENE,VIRD,17,20.6,9.7,3.9,7.2,0.549,0.4,1.3,0.273,1.5,2.6,0.556,1.5,3.9,5.5,0.6,0.7,1.1,2.1,2.8,31,VIRD,0.582,0.574,137.7,0.08800000000000001,0.244,0.163,0.064,0.198,0.019,0.059000000000000004,0.23600000000000002,-8.0,1.4,103.3,100.3,3.0,116.4,19.8,350.0,C,PBM,191,PBM,0,0,0,0,0,0,0,15,0,0.079,4.0,8.0,0.5,8,2,0.8,0.5,0.4,0.9,PALMA BASQUET MALLORCA
87,PAMOR DIENE,VIRD,17,20.6,9.7,3.9,7.2,0.549,0.4,1.3,0.273,1.5,2.6,0.556,1.5,3.9,5.5,0.6,0.7,1.1,2.1,2.8,31,VIRD,0.582,0.574,137.7,0.08800000000000001,0.244,0.163,0.064,0.198,0.019,0.059000000000000004,0.23600000000000002,-8.0,1.4,103.3,100.3,3.0,116.4,19.8,112.0,C,VIRD,90,VIRD,1,0,0,0,0,0,0,22,0,0.166,0.3,0.3,0.4,9,8,0.529,0.5,0.6,1.1,CIUDAD DE HUELVA
87,PAMOR DIENE,VIRD,17,20.6,9.7,3.9,7.2,0.549,0.4,1.3,0.273,1.5,2.6,0.556,1.5,3.9,5.5,0.6,0.7,1.1,2.1,2.8,31,VIRD,0.582,0.574,137.7,0.08800000000000001,0.244,0.163,0.064,0.198,0.019,0.059000000000000004,0.23600000000000002,-8.0,1.4,103.3,100.3,3.0,116.4,19.8,112.0,C,VIRD,191,PBM,0,0,0,0,0,0,0,15,0,0.079,4.0,8.0,0.5,8,2,0.8,0.5,0.4,0.9,CIUDAD DE HUELVA
87,PAMOR DIENE,VIRD,17,20.6,9.7,3.9,7.2,0.549,0.4,1.3,0.273,1.5,2.6,0.556,1.5,3.9,5.5,0.6,0.7,1.1,2.1,2.8,31,VIRD,0.582,0.574,137.7,0.08800000000000001,0.244,0.163,0.064,0.198,0.019,0.059000000000000004,0.23600000000000002,-8.0,1.4,103.3,100.3,3.0,116.4,19.8,112.0,C,PBM,90,VIRD,1,0,0,0,0,0,0,22,0,0.166,0.3,0.3,0.4,9,8,0.529,0.5,0.6,1.1,PALMA BASQUET MALLORCA
87,PAMOR DIENE,VIRD,17,20.6,9.7,3.9,7.2,0.549,0.4,1.3,0.273,1.5,2.6,0.556,1.5,3.9,5.5,0.6,0.7,1.1,2.1,2.8,31,VIRD,0.582,0.574,137.7,0.08800000000000001,0.244,0.163,0.064,0.198,0.019,0.059000000000000004,0.23600000000000002,-8.0,1.4,103.3,100.3,3.0,116.4,19.8,112.0,C,PBM,191,PBM,0,0,0,0,0,0,0,15,0,0.079,4.0,8.0,0.5,8,2,0.8,0.5,0.4,0.9,PALMA BASQUET MALLORCA
88,MICHEL DIOUF,VIRD,10,31.5,9.7,4.0,9.0,0.444,0.5,2.1,0.238,1.2,1.9,0.632,2.1,5.1,7.2,1.5,1.1,0.6,1.1,2.3,163,VIRD,0.493,0.472,131.4,0.071,0.175,0.12300000000000001,0.083,0.10099999999999999,0.018000000000000002,0.018000000000000002,0.159,-0.3,1.1,105.5,116.8,-11.3,91.1,14.6,315.0,FC,VIRD,52,VIRD,1,0,0,0,0,0,0,15,0,0.196,1.4,1.0,0.2,2,8,0.2,0.4,-0.2,0.1,CIUDAD DE HUELVA
89,DAVID KRISTENSEN,TAR,20,21.0,9.7,4.4,8.2,0.537,0.1,0.5,0.222,0.8,1.3,0.615,1.3,2.5,3.8,1.5,0.7,0.5,2.1,2.5,123,TAR,0.553,0.543,137.4,0.071,0.14,0.105,0.14300000000000002,0.18899999999999997,0.016,0.022000000000000002,0.23600000000000002,-5.0,1.2,98.4,112.6,-14.2,109.0,15.5,420.0,F,TAR,350,TAR,0,0,0,0,0,0,0,19,0,0.21,0.7,0.3,0.2,3,17,0.15,0.3,-0.1,0.2,TARRAGONA
90,GERARDO PEREZ,GCN,26,27.0,9.7,3.4,8.2,0.415,2.1,5.7,0.372,0.8,0.9,0.833,0.8,3.6,4.4,0.8,0.9,0.1,0.9,1.5,174,GCN,0.564,0.545,162.0,0.039,0.146,0.095,0.055,0.09699999999999999,0.018000000000000002,0.4,0.158,-1.3,1.2,116.4,101.6,14.8,179.8,14.0,702.0,SF,GCN,130,GCN,0,0,0,0,0,0,0,18,0,0.15,0.9,1.0,0.1,11,15,0.423,1.6,1.0,2.7,DREAMLAND GRAN CANARIA
91,JOSEBA QUEREJETA ARENAZA,KRC,26,23.5,9.6,3.2,9.7,0.331,1.0,4.2,0.248,2.2,3.8,0.582,0.7,3.1,3.8,3.7,0.9,0.0,2.4,1.8,224,KRC,0.425,0.384,116.0,0.036000000000000004,0.157,0.096,0.301,0.17600000000000002,0.022000000000000002,0.2,0.276,0.1,1.0,88.1,108.8,-20.6,138.0,12.1,611.0,SG,KRC,77,KRC,1,0,0,0,0,0,0,26,0,0.259,1.5,0.4,0.4,11,15,0.423,-0.9,0.3,-0.6,CLAVIJO
92,JOAN FELIU ESPEJO,PBM,28,20.8,9.6,3.5,8.1,0.425,1.3,3.8,0.349,1.4,1.6,0.844,1.0,1.6,2.6,1.4,1.2,0.1,1.0,1.4,34,PBM,0.543,0.507,161.9,0.057,0.092,0.075,0.128,0.102,0.033,0.4,0.226,-0.4,1.2,118.3,93.3,24.9,169.4,19.5,583.0,G,PBM,238,PBM,0,0,0,0,0,0,0,19,0,0.175,1.4,1.2,0.2,24,4,0.857,2.1,1.6,3.7,PALMA BASQUET MALLORCA
93,CHUSO GONZALEZ,UDEA,26,21.0,9.6,2.8,8.9,0.315,1.7,6.2,0.275,2.3,3.1,0.728,0.2,1.1,1.3,2.9,1.0,0.1,2.1,2.3,227,UDEA,0.465,0.409,131.8,1.0,0.063,0.035,0.265,0.168,0.025,0.4,0.27399999999999997,-0.6,1.1,93.5,106.2,-12.7,90.1,12.1,547.0,SG,UDEA,298,UDEA,0,0,0,0,0,0,0,21,0,0.217,1.4,0.5,0.3,10,16,0.385,-0.2,0.4,0.3,ALGECIRAS
94,JOSE NOGUES,PRA,28,25.4,9.6,3.5,7.7,0.46,1.0,3.3,0.312,1.5,2.3,0.651,1.1,2.8,4.0,1.8,0.4,0.3,0.8,1.6,128,PRA,0.552,0.528,142.3,0.051,0.12300000000000001,0.08800000000000001,0.129,0.087,0.8,0.9,0.174,1.5,1.2,115.3,104.5,10.8,197.9,15.4,712.0,PF,PRA,64,PRA,1,0,0,0,0,0,0,19,0,0.193,2.2,0.5,0.3,17,11,0.607,1.8,0.8,2.6,CB PRAT
95,THOMAS SMALLWOOD,PRA,15,17.7,9.5,3.6,8.1,0.446,1.0,3.3,0.3,1.3,1.9,0.714,1.1,3.1,4.1,0.9,0.5,0.3,1.0,2.8,66,PRA,0.536,0.508,146.1,0.071,0.18899999999999997,0.133,0.099,0.10099999999999999,0.013999999999999999,0.015,0.262,-2.4,1.2,105.4,100.7,4.7,80.3,18.1,266.0,C,PRA,40,PRA,1,0,0,0,0,0,0,21,0,0.161,0.9,0.5,0.2,8,7,0.533,0.5,0.4,0.9,CB PRAT
96,DANI RODRIGUEZ,CAC,30,18.3,9.5,3.2,7.9,0.405,1.1,3.7,0.306,2.0,2.3,0.857,0.4,1.3,1.7,2.3,0.6,0.0,1.6,1.2,65,CAC,0.534,0.477,156.9,0.026000000000000002,0.085,0.055999999999999994,0.27899999999999997,0.152,0.019,0.0,0.27899999999999997,-0.3,1.2,105.9,106.4,-0.5,145.3,18.2,550.0,PG,CAC,329,CAC,0,0,0,0,0,0,0,20,0,0.217,1.5,0.4,0.3,17,13,0.567,1.2,0.4,1.7,CÁCERES
97,JOSEP FRANCH,CAJA,23,26.5,9.5,3.4,9.2,0.37,1.3,4.5,0.301,1.4,2.2,0.627,0.9,3.5,4.4,5.0,1.0,0.0,2.0,1.9,129,CAJA,0.469,0.443,129.8,0.039,0.147,0.095,0.353,0.162,0.02,0.2,0.21600000000000003,5.2,1.0,101.4,100.0,1.4,194.4,15.4,610.0,PG,CAJA,97,CAJA,0,0,0,0,0,0,0,20,0,0.312,2.6,0.5,0.2,14,9,0.609,0.7,1.1,1.7,CAJA 87
98,LUCAS GIOVANETTI,PAE,14,25.5,9.5,3.2,6.7,0.479,1.2,3.2,0.378,1.9,2.3,0.813,1.1,1.5,2.6,1.4,0.9,0.5,1.5,1.4,121,PAE,0.615,0.569,166.9,0.049,0.07,0.059000000000000004,0.099,0.163,0.02,0.023,0.16399999999999998,-2.2,1.4,117.6,102.1,15.4,90.3,15.5,357.0,F,PAE,184,PAE,0,0,0,0,0,0,0,21,0,0.168,1.0,0.6,0.3,9,5,0.643,1.0,0.5,1.5,PALMA
99,DANIEL DE LA RUA,IBIZA,32,28.6,9.5,3.0,7.1,0.423,1.1,3.3,0.346,2.3,3.2,0.743,0.6,3.8,4.4,5.8,1.8,0.1,2.1,1.8,40,IBIZA,0.558,0.502,151.2,0.024,0.161,0.09300000000000001,0.325,0.2,0.035,0.3,0.177,6.1,1.3,116.0,99.3,16.7,352.9,19.1,915.0,PG,IBIZA,24,IBIZA,2,0,0,0,0,0,0,21,0,0.3,2.7,0.9,0.4,24,8,0.75,2.8,1.7,4.5,IBIZA
100,JOHAN KODY,GAN,26,23.5,9.4,3.7,7.0,0.519,0.7,1.8,0.354,1.5,2.1,0.704,1.7,3.9,5.6,1.0,0.3,0.5,1.3,1.4,80,GAN,0.592,0.566,157.7,0.085,0.198,0.142,0.08900000000000001,0.141,0.8,0.022000000000000002,0.18600000000000003,-2.6,1.3,112.1,102.4,9.7,204.0,17.3,612.3,C,GAN,39,GAN,2,0,0,0,0,0,0,19,0,0.175,0.8,0.3,0.3,11,15,0.423,1.4,0.8,2.3,GANDÍA
101,C.J. BARKSDALE,CBS,24,18.3,9.4,3.6,8.0,0.448,0.5,2.3,0.236,1.7,2.4,0.707,1.4,1.5,2.9,0.1,0.7,0.3,1.2,2.5,111,CBS,0.519,0.482,139.1,0.087,0.09699999999999999,0.092,0.013999999999999999,0.114,0.019,0.021,0.254,-5.8,1.2,102.7,108.1,-5.4,90.0,15.9,439.7,PF,CBS,342,CBS,0,0,0,0,0,0,0,25,0,0.132,0.1,0.6,0.3,12,12,0.5,0.6,0.2,0.8,Oca Global - Cbsaloua
102,EDUARD ARQUES,IBIZA,29,22.3,9.4,3.8,7.4,0.509,0.6,2.2,0.266,1.2,1.7,0.75,1.0,3.3,4.3,1.1,0.5,0.2,1.0,1.9,74,IBIZA,0.576,0.549,152.5,0.057999999999999996,0.179,0.11900000000000001,0.087,0.109,0.013000000000000001,0.011000000000000001,0.196,-1.2,1.3,116.2,103.4,12.8,192.3,17.7,648.0,C,IBIZA,96,IBIZA,0,0,0,0,0,0,0,17,0,0.165,1.1,0.5,0.2,23,6,0.793,1.9,0.8,2.7,IBIZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,340.0,PF,ZOR,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,340.0,PF,ZOR,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,340.0,PF,VIRD,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,CIUDAD DE HUELVA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,340.0,PF,VIRD,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,CIUDAD DE HUELVA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,267.0,PF,ZOR,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,267.0,PF,ZOR,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,267.0,PF,VIRD,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,CIUDAD DE HUELVA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,46,ZOR,0.579,0.552,147.4,0.1,0.161,0.132,0.098,0.10300000000000001,0.9,0.02,0.196,-0.9,1.3,118.9,105.8,13.1,83.8,19.0,267.0,PF,VIRD,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,CIUDAD DE HUELVA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,340.0,PF,ZOR,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,340.0,PF,ZOR,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,340.0,PF,VIRD,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,CIUDAD DE HUELVA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,340.0,PF,VIRD,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,CIUDAD DE HUELVA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,267.0,PF,ZOR,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,267.0,PF,ZOR,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,ZORNOTZA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,267.0,PF,VIRD,63,ZOR,1,0,0,0,0,0,0,19,0,0.218,1.2,0.4,0.2,5,5,0.5,0.9,0.2,1.2,CIUDAD DE HUELVA
103,MOHAMED NIANG,VIRD,16,21.3,9.4,3.1,6.4,0.476,0.4,1.5,0.292,2.8,4.1,0.692,2.1,3.3,5.3,1.1,0.4,0.4,1.7,3.8,67,VIRD,0.57,0.51,146.0,0.11699999999999999,0.195,0.155,0.09300000000000001,0.17,0.011000000000000001,0.019,0.22,-4.7,1.5,112.0,104.6,7.5,93.4,17.9,267.0,PF,VIRD,327,VIRD,0,0,0,0,0,0,0,28,0,0.149,0.6,0.3,0.6,9,7,0.563,1.0,0.3,1.3,CIUDAD DE HUELVA
104,ALEX TAMAYO,ALB,23,29.2,9.3,3.5,9.2,0.379,1.4,4.4,0.317,1.0,1.6,0.639,0.6,5.1,5.7,1.0,0.8,0.1,1.6,2.0,263,ALB,0.474,0.455,133.5,0.025,0.191,0.11199999999999999,0.067,0.13699999999999998,0.016,0.5,0.196,-3.2,1.0,88.7,97.5,-8.8,129.5,10.6,671.0,F,ALB,78,ALB,1,0,0,0,0,0,0,21,0,0.181,0.6,0.5,0.2,11,12,0.478,-0.6,1.4,0.8,ALBACETE
105,JAN ZIDEK,IBIZA,31,19.2,9.3,3.4,7.8,0.428,1.7,4.7,0.366,0.9,1.2,0.778,0.7,1.6,2.4,0.6,0.2,0.1,1.0,1.4,141,IBIZA,0.558,0.537,157.1,0.047,0.105,0.076,0.054000000000000006,0.107,0.5,0.3,0.23199999999999998,-3.2,1.2,110.2,108.1,2.0,127.0,15.1,596.0,F,IBIZA,274,IBIZA,0,0,0,0,0,0,0,34,0,0.134,0.6,0.2,0.1,24,7,0.774,1.4,0.3,1.7,IBIZA
106,JORGE LAFUENTE,BEN,28,37.7,9.3,3.6,7.3,0.498,1.0,2.8,0.346,1.1,1.9,0.593,2.1,6.9,8.9,5.8,1.3,0.3,2.3,2.2,113,BEN,0.575,0.564,143.6,0.066,0.19899999999999998,0.136,0.247,0.223,0.019,0.9,0.131,4.0,1.3,115.4,104.7,10.7,401.0,15.8,1056.0,SF,BEN,6,BEN,5,0,0,0,0,1,0,17,0,0.325,2.5,0.6,0.3,12,16,0.429,2.4,1.1,3.5,BENICARLO
107,LUCAS MANIEMA,GCN,26,26.4,9.3,3.4,7.3,0.468,1.0,3.0,0.321,1.5,2.1,0.704,0.7,1.8,2.5,2.4,1.0,0.1,3.5,2.2,281,GCN,0.564,0.534,149.3,0.034,0.07400000000000001,0.055,0.161,0.299,0.02,0.3,0.2,-7.0,1.3,90.7,104.3,-13.6,102.8,9.8,686.0,SG,GCN,109,GCN,0,0,0,0,0,0,0,21,0,0.208,0.7,0.3,0.3,11,15,0.423,-0.4,0.7,0.3,DREAMLAND GRAN CANARIA
108,ISMAEL CORRALIZA,UDEA,26,24.4,9.3,3.4,8.7,0.394,0.5,2.3,0.213,1.9,2.9,0.658,0.5,3.0,3.5,3.5,1.4,0.5,2.2,1.8,148,UDEA,0.464,0.423,126.5,0.025,0.149,0.084,0.28,0.18,0.032,0.026000000000000002,0.23199999999999998,0.7,1.1,93.8,101.0,-7.1,176.8,15.0,635.0,GF,UDEA,293,UDEA,0,0,0,0,0,1,0,19,0,0.263,1.6,0.6,0.3,10,16,0.385,-0.1,1.0,0.9,ALGECIRAS
109,ROGER FABREGA,CDL,30,21.2,9.3,3.1,6.9,0.447,0.7,2.3,0.324,2.4,3.5,0.692,0.5,2.3,2.8,3.8,0.9,0.0,1.8,1.0,41,CDL,0.552,0.5,146.2,0.026000000000000002,0.11699999999999999,0.07200000000000001,0.33299999999999996,0.179,0.024,0.0,0.222,3.4,1.3,110.7,101.5,9.1,223.0,19.1,636.0,G,CDL,211,CDL,0,0,0,0,0,1,0,26,0,0.251,2.1,0.5,0.5,17,13,0.567,1.7,1.0,2.7,CULTURAL Y DEPORTIVA LEONESA
110,ALEX RIVAS,NRFL,28,27.0,9.3,3.4,9.6,0.354,1.5,4.9,0.314,0.9,1.4,0.65,0.8,4.8,5.6,1.7,1.6,0.4,1.5,2.4,199,NRFL,0.453,0.435,131.8,0.032,0.19399999999999998,0.11,0.11199999999999999,0.128,0.033,0.016,0.196,-1.3,1.0,95.4,92.6,2.8,194.8,13.1,755.0,FC,NRFL,72,NRFL,1,0,0,0,0,1,0,18,0,0.185,1.1,1.1,0.1,16,12,0.571,0.0,2.2,2.2,
111,ENRIC ESPINOSA,SGBB,28,21.5,9.2,3.6,7.9,0.455,0.6,2.2,0.258,1.4,2.6,0.541,1.4,2.7,4.1,1.0,0.9,0.2,1.8,1.8,162,SGBB,0.507,0.491,125.4,0.069,0.13699999999999998,0.10300000000000001,0.10099999999999999,0.161,0.023,1.0,0.231,-4.9,1.2,95.4,102.8,-7.4,144.8,14.6,602.0,FC,SGBB,65,SGBB,1,0,0,0,0,0,0,19,0,0.177,0.6,0.5,0.3,11,17,0.393,0.0,0.8,0.8,SOL GIRONES BASQUET
112,ISAAC VAZQUEZ,CDL,22,20.6,9.2,3.2,7.6,0.425,1.4,4.4,0.32,1.3,1.7,0.784,0.3,1.7,2.0,2.7,0.8,0.2,1.0,2.6,77,CDL,0.551,0.518,152.9,0.015,0.091,0.053,0.235,0.107,0.021,0.011000000000000001,0.205,3.9,1.2,117.1,105.2,11.9,129.9,17.5,454.0,SG,CDL,242,CDL,0,0,0,0,0,0,0,18,0,0.207,2.7,0.8,0.2,12,10,0.545,1.5,0.4,2.0,CULTURAL Y DEPORTIVA LEONESA
113,LAMIN DIBBA,SGBB,28,27.3,9.2,3.8,6.1,0.629,0.0,0.0,0.0,1.5,2.9,0.538,2.8,6.4,9.1,1.0,0.5,1.9,1.8,2.4,38,SGBB,0.626,0.629,116.7,0.11199999999999999,0.252,0.183,0.073,0.19899999999999998,0.9,0.07200000000000001,0.154,-4.2,1.5,111.1,97.5,13.5,321.5,19.3,765.0,C,SGBB,8,SGBB,5,0,0,0,0,0,3,27,0,0.184,0.5,0.3,0.5,11,17,0.393,1.5,1.6,3.1,SOL GIRONES BASQUET
114,NYAMEYE ADOM,UDEA,13,21.7,9.1,3.2,9.5,0.331,0.9,3.6,0.255,1.8,1.9,0.96,0.6,1.4,2.0,1.1,0.7,0.1,1.5,1.8,283,UDEA,0.437,0.379,154.6,0.03,0.081,0.053,0.099,0.12300000000000001,0.018000000000000002,0.4,0.253,-3.5,1.0,89.9,105.3,-15.3,30.6,9.7,282.0,G,UDEA,98,UDEA,0,0,0,0,0,0,0,19,0,0.162,0.7,0.5,0.2,6,7,0.462,-0.3,0.3,0.0,ALGECIRAS
115,MARC SESE,PRA,30,20.4,9.1,2.8,7.7,0.362,1.4,4.6,0.302,2.1,2.6,0.785,0.3,1.4,1.6,0.9,0.6,0.0,1.4,1.8,244,PRA,0.51,0.453,144.9,0.015,0.07400000000000001,0.045,0.083,0.133,0.017,0.2,0.235,-3.6,1.2,96.8,105.3,-8.4,87.6,11.3,612.0,SG,PRA,202,PRA,0,0,0,0,0,0,0,22,0,0.135,0.7,0.5,0.3,17,13,0.567,0.2,0.6,0.8,CB PRAT
116,JUAN HIERREZUELO,CDP,28,22.4,9.0,3.1,8.3,0.371,1.5,5.0,0.302,1.4,1.9,0.722,0.8,2.9,3.7,0.8,0.2,0.1,1.5,2.3,273,CDP,0.495,0.461,139.5,0.043,0.149,0.096,0.069,0.138,0.5,0.7,0.22,-4.2,1.1,93.7,102.7,-9.0,100.5,10.2,628.0,FC,CDP,80,CDP,1,0,0,0,0,0,0,20,0,0.153,0.5,0.1,0.2,16,12,0.571,-0.1,0.8,0.7,PONFERRADA
117,ALBERT PLANELL,PCBS,19,26.8,9.0,3.6,8.2,0.436,0.4,1.5,0.286,1.4,2.6,0.54,2.4,5.4,7.8,1.6,1.0,0.5,1.7,3.2,153,PCBS,0.48,0.462,126.2,0.10099999999999999,0.223,0.162,0.11,0.152,0.02,0.017,0.188,-2.3,1.1,98.7,109.6,-11.0,153.3,14.9,510.0,PF,PCBS,16,PCBS,3,0,0,0,0,0,0,16,0,0.188,0.9,0.6,0.3,3,16,0.158,0.3,0.1,0.4,Santfeliuenc
