#_prom,Player,Team_prom,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,Team,#,Team_misc,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
11,FEDERICO AGUSTIN COPES,GOD,24,23.9,15.3,5.7,12.5,0.455,1.3,4.6,0.288,2.7,4.3,0.621,2.0,4.4,6.3,2.5,1.0,0.7,2.6,2.3,8,GOD,0.534,0.508,136.4,0.09300000000000001,0.215,0.153,0.222,0.155,0.023,0.032,0.326,-3.9,1.2,104.5,96.6,7.9,241.9,23.6,573.0,GF,GOD,4,GOD,6,0,0,0,0,1,0,27,0,0.283,1.0,0.4,0.3,15,9,0.625,1.3,1.3,2.6,GODELLA
12,WILHELM FALK,SGBB,10,31.8,14.8,5.2,12.9,0.403,1.1,4.1,0.268,3.3,4.5,0.733,1.9,5.1,7.0,1.7,2.0,0.0,2.3,2.1,69,SGBB,0.497,0.446,140.5,0.064,0.19,0.12300000000000001,0.11900000000000001,0.134,0.035,0.0,0.245,-3.7,1.1,100.9,101.7,-0.8,95.1,17.8,318.0,G,SGBB,14,SGBB,3,0,0,0,0,0,0,19,0,0.271,0.7,0.9,0.3,3,7,0.3,0.3,0.5,0.8,SOL GIRONES BASQUET
13,NEDIM DEDOVIC,CAJA,28,28.9,14.2,4.6,9.6,0.483,2.0,5.2,0.379,3.0,3.3,0.902,0.9,3.2,4.0,1.4,0.8,0.1,1.7,1.7,48,CAJA,0.643,0.586,176.5,0.035,0.121,0.079,0.095,0.132,0.015,0.3,0.207,-2.7,1.5,119.4,102.5,16.9,244.0,18.8,808.0,SF,CAJA,57,CAJA,1,0,0,0,0,0,0,25,0,0.224,0.8,0.5,0.3,15,13,0.536,2.9,1.1,4.0,CAJA 87
14,GERARDO MARTINEZ,PCBS,24,28.1,14.1,5.3,12.7,0.418,0.7,2.8,0.235,2.9,4.2,0.69,1.9,2.0,3.9,1.3,0.9,0.2,2.0,2.3,139,PCBS,0.487,0.444,134.3,0.075,0.08,0.077,0.098,0.11900000000000001,0.017,0.6,0.27,-3.7,1.1,98.1,115.5,-17.4,137.0,15.2,674.0,SG,PCBS,224,PCBS,0,0,0,0,0,0,0,25,0,0.241,0.7,0.4,0.3,6,18,0.25,0.4,-0.4,0.0,Santfeliuenc
15,PABLO SANCHEZ,ALB,25,27.7,14.0,4.3,10.2,0.422,1.6,5.6,0.295,3.8,4.6,0.817,0.4,2.8,3.2,2.2,1.0,0.1,1.9,2.7,59,ALB,0.572,0.502,153.4,0.016,0.11199999999999999,0.066,0.175,0.135,0.021,0.3,0.256,-1.7,1.4,107.6,100.6,7.0,178.9,18.5,692.0,PG,ALB,47,ALB,1,0,0,0,0,0,0,23,0,0.265,1.1,0.5,0.4,12,13,0.48,1.7,1.1,2.8,ALBACETE
16,JOE PLEASANT,GAN,21,29.9,14.0,4.9,10.5,0.466,1.3,3.0,0.422,2.9,3.9,0.741,1.9,3.8,5.7,1.0,1.6,0.6,1.3,1.7,21,GAN,0.571,0.527,162.9,0.078,0.154,0.11599999999999999,0.065,0.095,0.028999999999999998,0.022000000000000002,0.215,-2.2,1.3,114.8,99.7,15.1,218.4,20.4,627.6,F,GAN,339,GAN,0,0,0,0,0,1,0,26,0,0.217,0.7,1.2,0.4,8,13,0.381,1.9,1.1,3.0,GANDÍA
17,A.J. PLITZUWEIT,TAR,23,24.6,13.8,4.4,10.5,0.421,2.4,6.2,0.392,2.5,2.8,0.891,0.5,1.4,1.9,2.6,1.1,0.1,1.6,3.0,35,TAR,0.587,0.537,170.4,0.022000000000000002,0.07,0.045,0.20199999999999999,0.11800000000000001,0.024,0.6,0.245,0.7,1.3,117.9,116.5,1.4,165.5,19.5,565.0,PG,TAR,352,TAR,0,0,0,0,0,0,0,31,0,0.248,1.7,0.7,0.3,3,20,0.13,2.3,-0.4,1.8,TARRAGONA
18,YEIKSON MONTERO,LSA,29,23.6,13.7,5.1,13.6,0.375,1.8,6.6,0.268,1.7,2.2,0.781,1.0,2.6,3.6,1.7,1.0,0.1,2.2,2.2,150,LSA,0.469,0.439,142.4,0.044000000000000004,0.13,0.085,0.152,0.133,0.023,0.3,0.319,-4.7,1.0,92.4,104.0,-11.5,143.3,14.9,684.0,SF,LSA,264,LSA,0,0,0,0,0,0,0,22,0,0.25,0.7,0.4,0.2,16,13,0.552,-0.4,0.8,0.4,LA SALUD ARCHENA
19,ERIKAS KALINICENKO,CAC,19,28.9,13.7,4.4,10.6,0.416,1.9,6.2,0.308,2.9,4.1,0.727,1.4,3.5,4.8,1.0,1.5,0.1,1.5,1.9,50,CAC,0.551,0.505,145.1,0.055,0.138,0.09699999999999999,0.071,0.109,0.028999999999999998,0.4,0.23600000000000002,-3.1,1.3,110.5,99.4,11.0,157.1,18.8,550.0,F,CAC,190,CAC,0,0,0,0,0,0,0,26,0,0.209,0.7,1.0,0.4,13,6,0.684,1.5,1.0,2.4,CÁCERES
20,ALVARO PALAZUELOS,BEN,28,23.9,13.4,4.0,9.6,0.416,2.9,7.1,0.409,2.5,3.0,0.835,0.2,1.4,1.6,1.4,1.1,0.0,1.2,2.2,45,BEN,0.614,0.567,166.1,0.9,0.065,0.039,0.107,0.1,0.025,0.2,0.24100000000000002,-1.2,1.4,116.8,109.3,7.5,183.4,19.0,669.0,SF,BEN,166,BEN,0,0,0,0,0,0,0,23,0,0.187,1.1,0.9,0.3,12,16,0.429,2.4,0.2,2.6,BENICARLO
